,mean_last_epoch_train_loss,mean_last_epoch_train_acc,mean_last_epoch_val_loss,mean_last_epoch_val_acc,cv_iterator_factory_args_batch_search_window,cv_iterator_factory_args_batch_size,model_args_hl1_kernel_num,model_args_hl1_kernels,optimizer_args_lr
68,0.6149331578668559,0.6600051550820517,0.6284490594281836,0.6490063192600055,10,109,34,"[[3, 300]]",2.8862739975821228e-08
69,0.5566760008633598,0.7159678970507419,0.5876269399383922,0.6847696675519737,5,132,731,"[[2, 300]]",2.8862740197865833e-08
70,0.6190777345762494,0.662581287781645,0.625421343516911,0.6615074640534847,9,83,751,"[[1, 300]]",0.0006393248773576277
71,0.5740930756176907,0.6990978201135739,0.593893320282544,0.6790914918948622,10,62,799,"[[1, 300]]",2.8863245349342037e-08
72,0.5558254313918779,0.7230191413978742,0.6186030352557147,0.6579815001373752,4,825,353,"[[20, 300]]",2.8862739975821228e-08
73,0.5347889140226973,0.735459791170544,0.5843833951286344,0.6858228775528895,8,11,947,"[[1, 300]]",2.8862739975821228e-08
74,0.5856593944408276,0.6901905110826159,0.60046667211196,0.6753823610220716,7,616,907,"[[2, 300]]",2.8862739975821228e-08
75,0.5182094997829861,0.7561996244733468,0.6068151698392981,0.670207894495833,3,634,775,"[[11, 300]]",2.8862739975821228e-08
76,24.91361038773148,0.5467576479208647,211.79903738839286,0.5,5,996,891,"[[2, 300]]",0.26861502226354905
77,0.5759466958377608,0.6984223300970874,0.5956393112370997,0.6788167414598406,3,268,503,"[[2, 300]]",2.8862739975821228e-08
78,0.6222490583147321,0.6530442846675215,0.6261897768293109,0.6464419818664713,9,985,759,"[[1, 300]]",2.8862739975821228e-08
79,1.866647684349204,0.5715775839341594,1.0550196282217437,0.6180968953200843,2,212,186,"[[8, 300]]",0.3000000081917338
80,0.5552724752765166,0.717158591317091,0.5872572439688223,0.6866929205971243,8,139,785,"[[2, 300]]",2.939949761415761e-08
81,0.5483790873744204,0.7249438999816816,0.5901391300154321,0.6840369997252496,3,289,998,"[[3, 300]]",2.8862739975821228e-08
82,0.6161708471910009,0.6593058309739687,0.6226841578973787,0.6553255792655005,7,218,728,"[[1, 300]]",2.8862739975821228e-08
83,0.5842557786236959,0.6930069609818648,0.6027119954427084,0.6721311475409836,4,250,142,"[[3, 300]]",2.8862739975821228e-08
84,0.49820629255606885,0.7703791903278989,0.5853217156378777,0.6901730927740636,2,12,835,"[[4, 300]]",2.8868736068332623e-08
85,0.5806294207303029,0.6931122375920039,0.5974773711441828,0.6748786518911988,3,112,813,"[[1, 300]]",2.8862739975821228e-08
86,0.5393724621466871,0.7393019831592509,0.6152739348234953,0.6662240131880209,3,780,651,"[[19, 300]]",2.8862739975821228e-08
87,0.6091843371121388,0.668108406570653,0.6157353012650101,0.6601337118783771,4,807,845,"[[1, 300]]",2.8862739975821228e-08
88,2.797056124420402,0.5705314618061916,2.8309663765596382,0.5168513600146534,4,11,118,"[[20, 300]]",0.28440813660426556
89,0.5693191457568586,0.704656301520425,0.5915654814292374,0.6811063284183533,5,41,672,"[[1, 300]]",2.8862739975821228e-08
90,0.49309428305202363,0.7780729071258472,0.6031473174349953,0.6764813627621578,6,184,553,"[[14, 300]]",2.8862739975821228e-08
91,0.507382989850995,0.763641463638029,0.5890403088228202,0.6904020514699148,4,95,657,"[[4, 300]]",2.8862739975821228e-08
92,0.5244320491611927,0.7458669170177689,0.5859121314782665,0.6881124645114022,9,95,711,"[[3, 300]]",2.8862739975821228e-08
93,0.5996153174932278,0.6763944861696282,0.6097426986694336,0.6679183075373203,7,474,334,"[[2, 300]]",2.8862739975821228e-08
94,0.6111983781979408,0.662947655248214,0.6278003510974702,0.6490063192600055,3,998,523,"[[18, 300]]",2.8862739975821228e-08
95,0.5886183772610365,0.6859372137754167,0.6018032497829862,0.6725432731935159,9,129,611,"[[1, 300]]",2.886276084801409e-08
96,0.6011811010251642,0.6735436893203883,0.6080200760452835,0.6659492627529994,4,248,559,"[[1, 300]]",2.8862739975821228e-08
97,0.5713780601069612,0.7040497014018638,0.5971895734840464,0.6790457001556919,8,226,424,"[[3, 300]]",2.8862739975821228e-08
98,0.6187476227419823,0.663520104414728,0.6576627095540365,0.6311475409836066,10,146,836,"[[1, 300]]",0.0006393248773576277
99,0.48236083984375,0.7880106246565305,0.6091074060510706,0.6690631010165766,2,280,443,"[[16, 300]]",2.8862739975821228e-08
100,0.5624250449372595,0.7104307896665445,0.5890786658268896,0.6828922062459932,7,35,906,"[[1, 300]]",2.8862742640356487e-08
